Country,Trade,Energy Types,unit,2020,2021,2022
        United Kingdom,Import,Electricity,Billion KWh,"17,91 ","24,58 ","(5,34)"
        United Kingdom,Import,Natural Gas,BCF,"1550,34 ","1812,70 ","1995,32 "
        United Kingdom,Export,Electricity,Billion KWh,"4,48 ","4,17 ","20,79 "
        United Kingdom,Export,Natural Gas,BCF,"339,28 ","242,72 ","829,02 "
        United States,Import,Natural Gas,BCF,"2551,18 ","2807,96 ","3024,16 "
        United States,Import,Electricity,Billion KWh,"47,31 ","39,31 ","41,21 "
        United States,Export,Electricity,Billion KWh,"14,13 ","13,86 ","15,76 "
        United States,Export,Natural Gas,BCF,"5284,68 ","6652,61 ","6903,90 "
        Uruguay,Import,Natural Gas,BCF,"2,11 ","3,06 ","3,07 "
        Uruguay,Import,Electricity,Billion KWh,"(0,63)","(2,79)","(2,10)"
        Uruguay,Export,Electricity,Billion KWh,"1,15 ","2,85 ","2,15 "
        Uzbekistan,Import,Electricity,Billion KWh,"2,52 ","3,59 ","3,59 "
        Uzbekistan,Export,Electricity,Billion KWh,"2,69 ","2,64 ","2,64 "
        Uzbekistan,Export,Natural Gas,BCF,"154,02 ","191,26 ","197,60 "
        Venezuela,Import,Electricity,Billion KWh,"(0,65)","0,00 ","0,00 "
        Venezuela,Export,Electricity,Billion KWh,"0,65 ","0,00 ","0,00 "
        Vietnam,Import,Electricity,Billion KWh,"1,51 ","0,82 ","0,89 "
        Vietnam,Export,Electricity,Billion KWh,"1,56 ","0,58 ","0,63 "
        Zambia,Import,Electricity,Billion KWh,"(1,21)","(2,13)","(2,12)"
        Zambia,Export,Electricity,Billion KWh,"1,34 ","2,15 ","2,15 "
        Zimbabwe,Import,Electricity,Billion KWh,"1,98 ","1,74 ","1,76 "
        Zimbabwe,Export,Electricity,Billion KWh,"0,36 ","0,45 ","0,44 "
